id,Sender,Subject,Body,Response
0,FIRST_NAME LAST_NAME,Meeting,GREETING! I'm writing you to follow up on our previous correspondence. Our COMPANY is ADV_DEGREE interested in closing a deal soon. Can you agree to a meeting next DAY_OF_WEEK at TIME at LOCATION?,AFFIRMATION! We too are ADV_DEGREE excited to move forward with this. I'll have my secretary add next DAY_OF_WEEK's meeting at LOCATION to my calendar.
1,FIRST_NAME LAST_NAME,Proofreading,GREETING. Have you gotten around to proofreading our latest report? We need to release it to the shareholders by DAY_OF_WEEKCOMMA and you did ADV_DEGREE ADV_MANNER looking over the last one. Please get back to me after you've looked through it.,"APOLOGYCOMMA I've been completely swamped this weekCOMMA but I'll make sure to prioritize the report! It'll be done in time, I guarantee."
2,FIRST_NAME LAST_NAME,Presentation,GREETING. How far are you into the upcoming presentation to our potential investors? It's critical that we land this dealCOMMA so I expect this to be ADJ_DESCRIPTIVE+. Don't forget that your deadline is next DAY_OF_WEEK at TIME.,AFFIRMATIONCOMMA I 100% agree! This presentation is my top priority and I will put my all into making sure that it's the ADJ_SUPERLATIVE+ pitch this COMPANY has produced. You will not be disappointed.
3,FIRST_NAME LAST_NAME,Marketing help,GREETINGCOMMA this is FIRST_NAME from marketing. Would you be willing to participate in a focus group to for our new product? The ADJ_SUPERLATIVE+ name we've been able to come up with for it is the SUBJECTAGENTCOMMA but it doesn't ADV_DEGREE feel ADJ_DESCRIPTIVE+. Please let me know if you're free DAY_OF_WEEK at TIME!,APOLOGYCOMMA but you could offer me all the money in the world and I wouldn't get involved in marketing. FranklyCOMMA if the best your team could come up with was SUBJECTAGENTCOMMA I'm scared for the future of this COMPANY.
4,FIRST_NAME LAST_NAME,IMPORTANT: YOU WIN! (prize money inside),GREETING! You just sent the 5 billionth email! Click here to claim your 5 billion dollar reward!,I think you'd have better luck just asking people for their bank accounts.
5,FIRST_NAME LAST_NAME,Recruiting,"GREETINGCOMMA MC_FIRST_NAME. This is FIRST_NAME in recruiting. As we look to expand this COMPANY, we're asking everyone to participate in interviews for potential candidates. Please respond with your availability in the upcoming week, and we'll try to schedule it per your convenience.",GREETING FIRST_NAMECOMMA I think I can fit an interview or two into my schedule at TIME on DAY_OF_WEEK. Does that work for you?
6,FIRST_NAME LAST_NAME,Keep it up!,GREETING GROUP! This is a friendly reminder to always put your all into your work! RememberCOMMA we're a teamCOMMA so hard work benefits your peersCOMMA and the COMPANY too!,Is taking the time to respond to this email productive?
7,FIRST_NAME LAST_NAME,"No ""sexting""",GREETING GROUP. This is FIRST_NAME from HR. Don't forget that we have access to all correspondence on your COMPANY emails. It has come to our attention that some employees have been sending explicit messages to each other at work. Please make sure all messages are strictly work-related from now on. Thank you for your understanding.,DamnCOMMA I didn't know know HR stood for Horniness Rejectors.
8,FIRST_NAME LAST_NAME,Foreign markets,GREETING GROUP. As we look for new ways to grow our COMPANYCOMMA we're always on the lookout for new markets to expand to. Our research team has pinpointed COUNTRY as a ADV_DEGREE lucrative option for potential investment. Please put together a presentation outlining our ADJ_SUPERLATIVE+ tactics to reach an audience in COUNTRY.,Will get on this immediately. Is there a deadline for this?
9,FIRST_NAME LAST_NAME,Company retreat,GREETING GROUP. As you may knowCOMMA our annual COMPANY retreat is coming up soonCOMMA and we still haven't locked down a venue yet. We're asking GROUP to brainstorm ideas for a truly memorable trip. Corporate has given us a ADV_DEGREE large budgetCOMMA so dream big!,How about a destination retreat in COUNTRY? It's supposed to be ADV_DEGREE ADJ_DESCRIPTIVE+ this time of year.
10,FIRST_NAME LAST_NAME,Printer use,GREETING. To whomever keeps printing images of SUBJECTsCOMMA I'd like to kindly remind you that the COMPANY printer is forCOMMA you guessed itCOMMA COMPANY use only. Please refrain from using COMPANY materials for any non-COMPANY uses.,Business daddy doesn't want to pay for some extra ink? Ironic...
11,FIRST_NAME LAST_NAME,SUPPLY shortage,GREETING GROUP. Our last 5 SUPPLYs have all gone missing. I don't want to point fingersCOMMA but this is starting to get excessive. If you know anything about the missing SUPPLYsCOMMA please come forward.,APOLOGYCOMMA but I ain't no snitch.
12,FIRST_NAME LAST_NAME,Internship opportunity?,GREETING MC_FIRST_NAME! My name is FIRST_NAME LAST_NAME and I'm set to graduate from UNIVERSITY in MONTH. I was wondering if there are any openings available at your COMPANY? I'd ADV_DEGREE like to break into the industryCOMMA and your COMPANY seems the ADJ_SUPERLATIVE+ place to do so! Please let me know if you can help at all. I've attached my resume below.,GREETING FIRST_NAME. I'll go ahead and send your resume along to the hiring staff. How about we schedule a call for DAY_OF_WEEK at TIME and we can talk more about possible career paths?
13,FIRST_NAME LAST_NAME,Wi-Fi upgrade,GREETING GROUP. LatelyCOMMA I've noticed ADV_DEGREE ADJ_DESCRIPTIVE- download speeds on the COMPANY Wi-Fi. Management wants us to be as productive as possibleCOMMA yet spends the bare minimum on resources? All others in favor of making HR buy a new routerCOMMA please say aye.,AYE! These Wi-Fi speeds are ADV_DEGREE getting to me as well. I could ADV_DEGREE use the extra bandwidth for my work.
14,Maintenance,SUPPLY maintenance,Please note that all COMPANY SUPPLYs will be out of use this DAY_OF_WEEK as we perform routine maintenance. We apologize for the inconvenience.,OkCOMMA sounds good!
15,FIRST_NAME LAST_NAME,PARTY invite,GREETING manCOMMA we finalized a date for my PARTY! I'd love it if you could make it. It's going to be on the DATE of MONTH. Hope to see you there!,AFFIRMATION I'll be there! So excited to celebrate your PARTY with you. Can't wait!
16,FIRST_NAME LAST_NAME,,,
17,FIRST_NAME LAST_NAME,,,
18,FIRST_NAME LAST_NAME,,,
19,FIRST_NAME LAST_NAME,,,
20,FIRST_NAME LAST_NAME,,,
21,FIRST_NAME LAST_NAME,,,
22,FIRST_NAME LAST_NAME,,,
23,FIRST_NAME LAST_NAME,,,
24,FIRST_NAME LAST_NAME,,,
25,FIRST_NAME LAST_NAME,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,FIRST_NAME LAST_NAME,Disappearing Food,GREETING Everyone! It has come to my attention that a certain someone has been snacking on my ADJ_SUPERLATIVE+ food from home. I would like to let whoever this ADJ_SUPERLATIVE- person that this is MY foodCOMMA not yoursCOMMA so please stay away from things with the label FIRST_NAME or come DAY_OF_WEEK you will feel my wrath.,GREETING FIRST_NAMECOMMA I'm sorry to hear someone is stealing your ADJ_SUPERLATIVE+ food! How ADJ_SUPERLATIVE-! I hope you find the culprit 
101,FIRST_NAME LAST_NAME,Upcoming Meeting,GREETINGCOMMA Are we still on for our presentation on DAY_OF_WEEK? I know it still needs polish to go from ADJ_DESCRIPTIVE- to ready to presentCOMMA so how about we meet at TIME on DAY_OF_WEEK?,GREETINGCOMMA I should be free at TIME on DAY_OF_WEEK. Does LOCATION work?
102,FIRST_NAME LAST_NAME,Missing Pen,GREETING everyoneCOMMA I seem to have lost my favorite pen somewhere. I last saw it in LOCATIONCOMMA but if anyone has seen it please let me know! It is ADV_DEGREE important to me that it is found.,GREETING so sorry to hear you lost your favorite pen! I'll keep a ADJ_DEGREE keen eye out.
